City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Hinton,CA,2021-10-20 15:06:35,53.4001,-117.5857,33.17,81,1,3.42
118,Minjur,IN,2021-10-20 15:06:36,13.2667,80.2667,82.42,76,60,5.66
119,Manuk Mangkaw,PH,2021-10-20 15:06:36,4.8,119.85,83.77,67,47,3.09
120,Kendal,GB,2021-10-20 15:06:36,54.3268,-2.7476,53.11,83,100,7.58
121,Moroni,KM,2021-10-20 15:05:06,-11.7022,43.2551,77.94,76,58,3.18
122,Pangani,TZ,2021-10-20 15:06:37,-5.4333,38.9667,77.99,80,40,14.23
123,Paidha,UG,2021-10-20 15:06:37,2.4167,30.9855,68.36,82,100,3.36
124,Matagami,CA,2021-10-20 15:06:38,49.7502,-77.6328,39.31,92,90,8.05
125,Zaragoza,ES,2021-10-20 15:06:38,41.6561,-0.8773,75.65,44,0,3.0
126,Flin Flon,CA,2021-10-20 15:06:38,54.7682,-101.865,30.04,100,20,6.91
127,Klaksvik,FO,2021-10-20 15:06:39,62.2266,-6.589,41.92,73,100,37.13
128,Denpasar,ID,2021-10-20 15:01:43,-8.65,115.2167,83.86,83,20,10.36
129,Codrington,AU,2021-10-20 15:06:39,-38.2667,141.9667,65.35,40,100,13.09
130,Basarabeasca,MD,2021-10-20 15:06:40,46.3311,28.9728,63.12,46,85,15.7
131,Rocha,UY,2021-10-20 15:06:40,-34.4833,-54.3333,68.14,54,12,6.67
132,Suntar,RU,2021-10-20 15:06:40,62.1444,117.6319,31.8,91,87,6.62
133,Kodiak,US,2021-10-20 15:06:41,57.79,-152.4072,45.91,87,90,18.41
134,Nanga Eboko,CM,2021-10-20 15:06:41,4.6833,12.3667,67.86,99,100,2.86
135,Shimoda,JP,2021-10-20 15:06:42,34.6667,138.95,60.76,67,87,10.87
136,Leningradskiy,RU,2021-10-20 15:06:42,69.3833,178.4167,24.04,96,100,17.56
137,Cidreira,BR,2021-10-20 15:06:43,-30.1811,-50.2056,65.39,62,75,13.29
138,Broome,US,2021-10-20 15:06:43,42.2506,-75.833,68.05,63,1,1.99
139,Sitka,US,2021-10-20 15:06:44,57.0531,-135.33,53.49,54,40,17.27
140,Coihaique,CL,2021-10-20 15:06:44,-45.5752,-72.0662,61.41,58,90,6.91
141,Phan Thiet,VN,2021-10-20 15:01:54,10.9333,108.1,78.57,87,100,5.57
142,Nikolskoye,RU,2021-10-20 15:06:45,59.7035,30.7861,37.87,94,100,14.45
143,Butaritari,KI,2021-10-20 15:06:45,3.0707,172.7902,80.89,74,86,7.09
144,Tomohon,ID,2021-10-20 15:06:45,1.3346,124.8392,67.14,90,43,1.88
145,Bengkulu,ID,2021-10-20 15:06:46,-3.8004,102.2655,78.4,86,98,4.12
146,Belaya Gora,RU,2021-10-20 15:06:46,68.5333,146.4167,-9.09,96,75,2.19
147,Skibbereen,IE,2021-10-20 15:06:46,51.55,-9.2667,53.4,69,100,11.1
148,Walvis Bay,NA,2021-10-20 15:06:47,-22.9575,14.5053,63.09,78,28,8.52
149,Ostrovnoy,RU,2021-10-20 15:06:47,68.0531,39.5131,29.41,76,100,5.99
150,Salamanca,ES,2021-10-20 15:06:48,40.8333,-6.0,74.98,50,22,17.83
151,Umm Lajj,SA,2021-10-20 15:06:48,25.0213,37.2685,82.67,63,0,11.88
152,Kudahuvadhoo,MV,2021-10-20 15:06:48,2.6708,72.8944,82.85,71,31,15.05
153,Olavarria,AR,2021-10-20 15:06:49,-36.8927,-60.3225,68.02,57,0,9.28
154,Vieques,PR,2021-10-20 15:06:49,18.425,-65.8329,90.25,62,40,12.66
155,Huarmey,PE,2021-10-20 15:06:50,-10.0681,-78.1522,68.18,77,100,8.86
156,Havre-Saint-Pierre,CA,2021-10-20 15:06:50,50.2334,-63.5986,48.85,75,99,9.6
157,Te Anau,NZ,2021-10-20 15:06:50,-45.4167,167.7167,36.19,96,39,1.57
158,Solenzo,BF,2021-10-20 15:06:51,12.1833,-4.0833,92.26,41,92,7.96
159,Olinda,BR,2021-10-20 15:06:51,-8.0089,-34.8553,85.73,54,20,10.36
160,Berlevag,NO,2021-10-20 15:03:19,70.8578,29.0864,21.15,68,0,8.05
161,Maragogi,BR,2021-10-20 15:02:26,-9.0122,-35.2225,83.91,63,27,11.59
162,Sosva,RU,2021-10-20 15:06:52,59.1766,61.8558,32.56,76,100,4.18
163,Sitamau,IN,2021-10-20 15:06:52,24.0167,75.35,73.76,54,0,6.2
164,Mahebourg,MU,2021-10-20 15:06:52,-20.4081,57.7,75.25,71,9,11.7
165,Katsuura,JP,2021-10-20 15:06:53,35.1333,140.3,58.19,52,63,15.64
166,Zaysan,KZ,2021-10-20 15:06:53,47.4667,84.8667,50.81,30,0,6.2
167,Kyrylivka,UA,2021-10-20 15:06:53,46.3759,35.3675,51.78,52,100,11.21
168,Farsund,NO,2021-10-20 15:03:19,58.0948,6.8047,53.94,78,87,21.16
169,Yulara,AU,2021-10-20 15:06:54,-25.2406,130.9889,75.04,22,0,9.22
170,Russell,US,2021-10-20 15:06:54,32.3502,-85.1999,71.8,76,36,2.89
171,Andrychow,PL,2021-10-20 15:06:54,49.855,19.3383,65.12,64,86,6.53
172,La Ronge,CA,2021-10-20 15:06:02,55.1001,-105.2842,33.6,66,88,8.23
173,Dornbirn,AT,2021-10-20 15:06:55,47.4167,9.7331,71.37,54,0,1.99
174,Sao Filipe,CV,2021-10-20 15:06:55,14.8961,-24.4956,83.91,57,0,7.56
175,Placerville,US,2021-10-20 15:06:56,38.7296,-120.7986,59.58,45,90,12.66
176,Yar-Sale,RU,2021-10-20 15:06:56,66.8333,70.8333,31.15,90,68,7.81
177,Cabo San Lucas,MX,2021-10-20 15:05:16,22.8909,-109.9124,76.6,78,20,14.97
178,Geraldton,AU,2021-10-20 15:06:56,-28.7667,114.6,64.81,77,75,10.36
179,Qaanaaq,GL,2021-10-20 15:06:57,77.484,-69.3632,21.96,84,100,8.9
180,Mar Del Plata,AR,2021-10-20 15:03:43,-38.0023,-57.5575,62.87,1,0,15.99
